A supplementary material to the paper

Investigation of the B^1\Pi state in NaCs by polarisation labelling spectroscopy 

Authors: A.Grochola, P.Kowalczyk (c), W.Jastrzebski
(c) Corresponding author: e-mail address pfkowal@fuw.edu.pl

++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

Table 1.  Experimental energies of rovibrational levels in the B^1\Pi state (Eexp)
and the corresponding values calculated from the IPA potential (Ecalc), in cm-1.
Diff are the differences Eexp-Ecalc. In the fit of the potential energy curve
of the B^1\Pi state only the levels with flag=1 were used.
	  
    N   v   J      Eexp            Ecalc       Diff   flag
  166   8  22    15805.65714    15805.65086    .00628  1
  167   9  22    15847.76714    15847.74773    .01941  1
  168  10  22    15888.61714    15888.57138    .04576  1
  169  11  22    15928.22714    15928.20155    .02559  1
  170  12  22    15966.67714    15966.68407   -.00693  1
  171  13  22    16004.32714    16004.06528    .26186  1
  172  17  22    16142.91714    16143.09881   -.18167  1
  173   0  23    15420.91105    15420.91184   -.00079  1
  174   1  23    15473.81105    15473.82502   -.01397  1
  175   2  23    15525.48105    15525.47550    .00555  1
  176   3  23    15575.86105    15575.83310    .02795  1
  177   4  23    15624.93105    15624.93997   -.00892  1
  178   5  23    15672.61105    15672.75409   -.14304  1
  179   6  23    15719.03105    15719.12510   -.09405  1
  180   7  23    15763.92105    15763.97706   -.05601  1
  181   8  23    15807.46105    15807.37566    .08539  1
  182   9  23    15849.53105    15849.43058    .10047  1
  183  10  23    15890.32105    15890.21401    .10704  1
  184  11  23    15929.84105    15929.80574    .03531  1
  185  12  23    15968.26105    15968.25144    .00961  1
  186  13  23    16005.71105    16005.59737    .11368  1
  187  14  23    16041.92105    16041.88133    .03972  1
  188  15  23    16077.03105    16077.12629   -.09524  1
  189  16  23    16111.30105    16111.33585   -.03480  1
  190  17  23    16144.36105    16144.49964   -.13859  1
  191  18  23    16176.40105    16176.60508   -.20403  1
  192  21  23    16266.20284    16266.41575   -.21291  1
  193  22  23    16294.00284    16294.13169   -.12885  1
  194  23  23    16320.70284    16320.71960   -.01676  1
  195  24  23    16346.30284    16346.18671    .11613  1
  196  25  23    16370.62284    16370.53599    .08685  1
  197  26  23    16393.79284    16393.74174    .05110  1
  198  27  23    16415.69284    16415.73148   -.03864  1
  199  28  23    16436.46284    16436.41106    .05178  1
  200  29  23    16456.11284    16455.77697    .33587  1
  201  30  23    16474.81284    16474.01547    .79737  6
  202  31  23    16492.59284    16491.38620   1.20664  6
  203  33  23    16523.82284    16523.89916   -.07632  1
  204  34  23    16539.14284    16539.02658    .11626  1
  205  35  23    16553.43284    16553.35265    .08019  1
  206  36  23    16566.87284    16566.81041    .06243  1
  207  37  23    16579.54284    16579.38213    .16071  1
  208  38  23    16590.32284    16591.11372   -.79088  6
  209  39  23    16602.08284    16602.08402   -.00118  1
  210  40  23    16612.50284    16612.37847    .12437  1
  211  41  23    16622.10284    16622.02291    .07993  1
  212  42  23    16631.02284    16630.97450    .04834  1
  213  43  23    16639.24284    16639.17308    .06976  1
  214  44  23    16646.45284    16646.59001   -.13717  1
  215   7  24    15765.75692    15765.82135   -.06443  1
  216   8  24    15809.21692    15809.17500    .04192  1
  217   9  24    15851.18692    15851.18616    .00076  1
  218  10  24    15892.02692    15891.92764    .09928  1
  219  11  24    15931.46692    15931.47926   -.01234  1
  220  12  24    15969.93692    15969.88653    .05039  1
  221  17  24    16145.80692    16145.96094   -.15402  1
  222  18  24    16177.83692    16178.03322   -.19630  1
  223  19  24    16208.74692    16209.03076   -.28384  1
  224  20  24    16238.74692    16238.93999   -.19307  1
  225  21  24    16267.54692    16267.74473   -.19781  1
  226  22  24    16295.35692    16295.42738   -.07046  1
  227  23  24    16322.01692    16321.98203    .03489  1
  228  24  24    16347.53692    16347.41596    .12096  1
  229  25  24    16371.82692    16371.73179    .09513  1
  230  26  24    16394.97692    16394.90297    .07395  1
  231  27  24    16416.84692    16416.85598   -.00906  1
  232  28  24    16437.59692    16437.49688    .10004  1
  233  29  24    16457.16692    16456.82519    .34173  1
  234  30  24    16475.83692    16475.03111    .80581  6
  235  31  24    16493.60692    16492.37348   1.23344  6
  236  33  24    16524.76692    16524.83117   -.06425  1
  237  34  24    16540.04692    16539.92993    .11699  1
  238  35  24    16554.33692    16554.22531    .11161  1
  239  36  24    16567.67692    16567.65074    .02618  1
  240  37  24    16580.34692    16580.18981    .15711  1
  241  38  24    16591.26692    16591.89015   -.62323  6
  242  39  24    16602.86692    16602.83104    .03588  1
  243  40  24    16613.27692    16613.09763    .17929  1
  244  41  24    16622.78692    16622.71322    .07370  1
  245  42  24    16631.69692    16631.63345    .06347  1
  246  43  24    16639.90692    16639.79789    .10903  1
  247  44  24    16647.06692    16647.18034   -.11342  1
  248  45  24    16654.07692    16653.86900    .20792  1
  249  46  24    16660.08692    16659.97432    .11260  1
  250  47  24    16665.50692    16665.48997    .01695  1
  251  48  24    16670.34692    16670.29365    .05327  1
  252  49  24    16674.34692    16674.34459    .00233  1
  253  50  24    16677.85692    16677.75979    .09713  1
  254   1  26    15480.32060    15480.29806    .02254  1
  255   2  26    15531.90060    15531.85637    .04423  1
  256   3  26    15582.14060    15582.11156    .02904  1
  257   4  26    15631.07060    15631.10584   -.03524  1
  258   5  26    15678.74060    15678.79481   -.05421  1
  259   6  26    15725.01060    15725.02913   -.01853  1
  260   7  26    15769.74060    15769.73885    .00175  1
  261   8  26    15813.22060    15812.99707    .22353  1
  262   9  26    15855.10060    15854.91529    .18531  1
  263  10  26    15895.66060    15895.56767    .09293  1
  264  11  26    15935.11060    15935.03408    .07652  1
  265  12  26    15973.36060    15973.35971    .00089  1
  266  13  26    16010.68060    16010.59062    .08998  1
  267  14  26    16046.76060    16046.76395   -.00335  1
  268  15  26    16081.63060    16081.90128   -.27068  1
  269  16  26    16115.88060    16116.00525   -.12465  1
  270  17  26    16148.91060    16149.06472   -.15412  1
  271  25  26    16374.40396    16374.27082    .13314  1
  272  26  26    16397.37396    16397.36836    .00560  1
  273  27  26    16419.22396    16419.24306   -.01910  1
  274  28  26    16439.82396    16439.80159    .02237  1
  275  29  26    16459.36396    16459.05012    .31384  1
  276  30  26    16478.01396    16477.18713    .82683  6
  277  31  26    16495.74396    16494.46933   1.27463  6
  278  33  26    16526.74396    16526.80938   -.06542  1
  279  34  26    16541.92396    16541.84703    .07693  1
  280  35  26    16556.14396    16556.07691    .06705  1
  281  36  26    16569.47396    16569.43344    .04052  1
  282  37  26    16582.09396    16581.90305    .19091  1
  283  39  26    16604.38396    16604.41551   -.03155  1
  284  40  26    16614.72396    16614.62282    .10114  1
  285  41  26    16624.22396    16624.17674    .04722  1
  286  42  26    16633.08396    16633.02988    .05408  1
  287  43  26    16641.21396    16641.12132    .09264  1
  288  44  26    16648.39396    16648.43055   -.03659  1
  289  45  26    16655.15396    16655.05381    .10015  1
  290  46  26    16661.20396    16661.09690    .10706  1
  291  47  26    16666.56396    16666.54036    .02360  1
  292  48  26    16671.21396    16671.25791   -.04395  1
  293  49  26    16675.24396    16675.22341    .02055  1
  294  50  26    16678.66396    16678.56018    .10378  1
  295   1  28    15485.09619    15485.04152    .05467  1
  296   2  28    15536.58619    15536.53222    .05397  1
  297   3  28    15586.70619    15586.71234   -.00615  1
  298   4  28    15635.63619    15635.62413    .01206  1
  299   5  28    15683.17619    15683.22138   -.04519  1
  300   6  28    15729.35619    15729.35555    .00064  1
  301   7  28    15774.13619    15773.96110    .17509  1
  302   8  28    15817.25619    15817.11654    .13965  1
  303   9  28    15859.06619    15858.93463    .13156  1
  304  10  28    15899.55619    15899.49101    .06518  1
  305  11  28    15938.90619    15938.86555    .04064  1
  306  13  28    16014.35619    16014.24972    .10647  1
  307  14  28    16050.25619    16050.34192   -.08573  1
  308  15  28    16085.47619    16085.40029    .07590  1
  309  16  28    16119.43619    16119.42675    .00944  1
  310  17  28    16152.28619    16152.40964   -.12345  1
  311  18  28    16184.18619    16184.33532   -.14913  1
  312  21  28    16273.51728    16273.60821   -.09093  1
  313  22  28    16301.09728    16301.14358   -.04630  1
  314  23  28    16327.54728    16327.55111   -.00383  1
  315  24  28    16352.92728    16352.83823    .08905  1
  316  25  28    16377.06728    16377.00588    .06140  1
  317  26  28    16400.02728    16400.02373    .00355  1
  318  27  28    16421.73728    16421.81359   -.07631  1
  319  28  28    16442.25728    16442.28302   -.02574  1
  320  29  28    16461.80728    16461.44569    .36159  1
  321  30  28    16480.34728    16479.50885    .83843  6
  322  31  28    16498.07728    16496.72630   1.35098  6
  323  33  28    16528.91728    16528.93918   -.02190  1
  324  34  28    16543.96728    16543.91065    .05663  1
  325  35  28    16558.06728    16558.06945   -.00217  1
  326  36  28    16571.38728    16571.35135    .03593  1
  327  38  28    16594.84728    16595.30836   -.46108  1
  328  39  28    16606.10728    16606.11975   -.01247  1
  329  40  28    16616.37728    16616.26296    .11432  1
  330  41  28    16625.82728    16625.74984    .07744  1
  331  42  28    16634.57728    16634.52991    .04737  1
  332  44  28    16649.73728    16649.77233   -.03505  1
  333  45  28    16656.41728    16656.32537    .09191  1
  334  46  28    16662.40728    16662.30073    .10655  1
  335  47  28    16667.65728    16667.66435   -.00707  1
  336   0  29    15434.86100    15434.80077    .06023  1
  337   1  29    15487.59100    15487.54145    .04955  1
  338   2  29    15538.98100    15538.99648   -.01548  1
  339   3  29    15589.23100    15589.13704    .09396  1
  340   8  29    15819.37100    15819.28765    .08335  1
  341   9  29    15861.17100    15861.05297    .11803  1
  342  10  29    15901.62100    15901.55877    .06223  1
  343  11  29    15940.89100    15940.88488    .00612  1
  344  12  29    15979.22100    15979.07609    .14491  1
  345  18  29    16185.97100    16186.05789   -.08689  1
  346  19  29    16216.78100    16216.86933   -.08833  1
  347  20  29    16246.49100    16246.59265   -.10165  1
  348  21  29    16275.15100    16275.21060   -.05960  1
  349  22  29    16302.71100    16302.70561    .00539  1
  350  23  29    16329.13100    16329.07283    .05817  1
  351  24  29    16354.42100    16354.31971    .10129  1
  352  25  29    16378.56100    16378.44670    .11430  1
  353  26  29    16401.35100    16401.42241   -.07141  1
  354  27  29    16423.09100    16423.16736   -.07636  1
  355  28  29    16443.63100    16443.58971    .04129  1
  356  29  29    16463.00100    16462.70721    .29379  1
  357  30  29    16481.58100    16480.73160    .84940  6
  358  31  29    16499.29100    16497.91501   1.37599  6
  359  33  29    16530.01100    16530.06067   -.04967  1
  360  34  29    16545.06100    16544.99712    .06388  1
  361  35  29    16559.11100    16559.11826   -.00726  1
  362  36  29    16572.40100    16572.36068    .04032  1
  363  40  29    16617.12100    16617.12580   -.00480  1
  364  42  29    16635.40100    16635.31832    .08268  1
  365  44  29    16650.48100    16650.47710    .00390  1
  366  45  29    16657.10100    16656.99323    .10777  1
  367  46  29    16663.07100    16662.93257    .13843  1
  368  47  29    16668.29100    16668.25322    .03778  1
  369  48  29    16672.81100    16672.82590   -.01490  1
  370  50  29    16679.96100    16679.85633    .10467  1
  371  51  29    16682.56100    16682.47261    .08839  1
  372  52  29    16684.66100    16684.52980    .13120  1
  373   1  31    15492.78233    15492.79728   -.01495  1
  374   2  31    15544.13233    15544.17726   -.04493  1
  375   3  31    15594.25233    15594.23463    .01770  1
  376   4  31    15642.99233    15643.01155   -.01922  1
  377   5  31    15690.56233    15690.45878    .10355  1
  378   6  31    15736.44233    15736.42923    .01310  1
  379   7  31    15780.92233    15780.86466    .05767  1
  380   8  31    15824.08233    15823.85224    .23009  1
  381   9  31    15865.61233    15865.50667    .10566  1
  382  10  31    15905.97233    15905.90613    .06620  1
  383  11  31    15945.13233    15945.13040    .00193  1
  384  12  31    15983.40233    15983.22402    .17831  1
  385  13  31    16020.43233    16020.23258    .19975  1
  386  14  31    16056.34233    16056.19196    .15037  1
  387  15  31    16091.21233    16091.12105    .09128  1
  388  16  31    16125.09233    16125.02058    .07175  1
  389  17  31    16157.93233    16157.87803    .05430  1
  390  18  31    16189.63233    16189.67901   -.04668  1
  391  21  31    16278.56134    16278.57866   -.01732  1
  392  22  31    16305.98134    16305.98868   -.00734  1
  393  23  31    16332.34134    16332.27101    .07033  1
  394  24  31    16357.51134    16357.43315    .07819  1
  395  25  31    16381.52134    16381.47446    .04688  1
  396  26  31    16404.30134    16404.36122   -.05988  1
  397  27  31    16425.88134    16426.01133   -.12999  1
  398  28  31    16446.30134    16446.33442   -.03308  1
  399  29  31    16465.75134    16465.35712    .39422  1
  400  30  31    16484.15134    16483.30043    .85091  6
  401  31  31    16501.94134    16500.41226   1.52908  6
  402  32  31    16516.11134    16516.78599   -.67465  6
  403  33  31    16532.39134    16532.41628   -.02494  1
  404  34  31    16547.35134    16547.27877    .07257  1
  405  35  31    16561.33134    16561.32027    .01107  1
  406  36  31    16574.51134    16574.47936    .03198  1
  407  37  31    16587.06134    16586.75115    .31019  1
  408  38  31    16597.81134    16598.19650   -.38516  1
  409  39  31    16608.87134    16608.89838   -.02704  1
  410  40  31    16619.04134    16618.93627    .10507  1
  411  41  31    16628.34134    16628.31214    .02920  1
  412  43  31    16644.50134    16644.85159   -.35025  1
  413  44  31    16652.01134    16651.95342    .05792  1
  414  45  31    16658.47134    16658.39216    .07918  1
  415  17  32    16159.81442    16159.82081   -.00639  1
  416  18  32    16191.55442    16191.57740   -.02298  1
  417  19  32    16222.24442    16222.26036   -.01594  1
  418  20  32    16251.84442    16251.85526   -.01084  1
  419  21  32    16280.35442    16280.34415    .01027  1
  420  22  32    16307.78442    16307.70953    .07489  1
  421  23  32    16333.99442    16333.94729    .04713  1
  422  24  32    16359.14442    16359.06491    .07951  1
  423  25  32    16383.03442    16383.06118   -.02676  1
  424  26  32    16405.78442    16405.90113   -.11671  1
  425  27  32    16427.30442    16427.50128   -.19686  1
  426  28  32    16447.80442    16447.77218    .03224  1
  427  29  32    16467.07442    16466.74528    .32914  1
  428  30  32    16485.52442    16484.64629    .87813  6
  429  33  32    16533.54442    16533.65017   -.10575  1
  430  34  32    16548.53442    16548.47369    .06073  1
  431  35  32    16562.47442    16562.47318    .00124  1
  432  36  32    16575.62442    16575.58840    .03602  1
  433  38  32    16598.91442    16599.22025   -.30583  1
  434   0  33    15445.76751    15445.79021   -.02270  1
  435   1  33    15498.84751    15498.39381    .45370  1
  436   2  33    15549.64751    15549.69377   -.04626  1
  437   3  33    15599.67751    15599.66255    .01496  1
  438   4  33    15648.35751    15648.34216    .01535  1
  439   5  33    15695.65751    15695.68109   -.02358  1
  440   6  33    15741.54751    15741.53342    .01409  1
  441   8  33    15828.85751    15828.71280    .14471  1
  442   9  33    15870.31751    15870.24920    .06831  1
  443  10  33    15910.55751    15910.53546    .02205  1
  444  11  33    15949.62751    15949.65127   -.02376  1
  445  13  33    16024.62751    16024.54984    .07767  1
  446  14  33    16060.56751    16060.41328    .15423  1
  447  15  33    16095.29751    16095.24894    .04857  1
  448  16  33    16129.14751    16129.05670    .09081  1
  449  17  33    16161.88751    16161.82346    .06405  1
  450  18  33    16193.53751    16193.53425    .00326  1
  451  19  33    16224.19334    16224.17155    .02179  1
  452  20  33    16253.71334    16253.72082   -.00748  1
  453  21  33    16282.07611    16282.16384   -.08773  1
  454  22  33    16309.48611    16309.48315    .00296  1
  455  23  33    16335.71611    16335.67490    .04121  1
  456  24  33    16360.83611    16360.74658    .08953  1
  457  25  33    16384.69611    16384.69632   -.00021  1
  458  26  33    16407.35611    16407.48787   -.13176  1
  459  27  33    16428.84611    16429.03636   -.19025  1
  460  28  33    16449.23611    16449.25336   -.01725  1
  461  29  33    16468.62611    16468.17541    .45070  1
  462  30  33    16486.93611    16486.03298    .90313  6
  463  31  33    16504.66334    16503.06871   1.59463  6
  464  32  33    16518.74611    16519.36767   -.62156  6
  465  33  33    16534.88611    16534.92128   -.03517  1
  466  34  33    16549.70611    16549.70448    .00163  1
  467  35  33    16563.64611    16563.66049   -.01438  1
  468  36  33    16576.77611    16576.73037    .04574  1
  469  38  33    16599.97611    16600.27427   -.29816  1
  470  39  33    16610.86611    16610.89732   -.03121  1
  471  40  33    16620.92611    16620.85871    .06740  1
  472  41  33    16630.22611    16630.15339    .07272  1
  473  43  33    16646.28611    16646.50796   -.22185  1
  474  44  33    16653.55611    16653.51743    .03868  1
  475  45  33    16659.98611    16659.87396    .11215  1
  476  46  33    16665.72611    16665.65364    .07247  1
  477  47  33    16670.77611    16670.78023   -.00412  1
  478   8  34    15831.30603    15831.25388    .05215  1
  479   9  34    15872.70603    15872.72859   -.02256  1
  480  10  34    15912.88603    15912.95569   -.06966  1
  481  11  34    15951.93603    15952.01478   -.07875  1
  482  12  34    15989.72603    15989.95008   -.22405  1
  483  13  34    16026.78603    16026.80686   -.02083  1
  484  17  34    16163.96603    16163.88589    .08014  1
  485  18  34    16195.62603    16195.54946    .07657  1
  486  19  34    16226.19603    16226.13970    .05633  1
  487  20  34    16255.70603    16255.64191    .06412  1
  488  21  34    16284.04603    16284.03763    .00840  1
  489  22  34    16311.41603    16311.30943    .10660  1
  490  23  34    16337.51603    16337.45374    .06229  1
  491  24  34    16362.56603    16362.47804    .08799  1
  492  25  34    16386.36603    16386.37977   -.01374  1
  493  26  34    16408.96603    16409.12134   -.15531  1
  494  27  34    16430.41603    16430.61643   -.20040  1
  495  28  34    16450.76603    16450.77782   -.01179  1
  496  29  34    16469.99603    16469.64739    .34864  1
  497  30  34    16488.39603    16487.46035    .93568  6
  498  31  34    16506.17603    16504.45631   1.71972  6
  499  33  34    16536.14603    16536.22948   -.08345  1
  500  34  34    16550.93603    16550.97101   -.03498  1
  501  35  34    16564.81603    16564.88206   -.06603  1
  502  36  34    16577.94603    16577.90510    .04093  1
  503  38  34    16601.03603    16601.35840   -.32237  1
  504  39  34    16612.17603    16611.94029    .23574  1
  505  40  34    16621.83603    16621.86150   -.02547  1
  506  42  34    16639.69603    16639.63629    .05974  1
  507  43  34    16647.16603    16647.37042   -.20439  1
  508  44  34    16654.34603    16654.33177    .01426  1
  509  45  34    16660.78603    16660.64538    .14065  1
  510  46  34    16666.43603    16666.38091    .05512  1
  511  47  34    16671.39603    16671.45301   -.05698  1
  512  48  34    16675.77603    16675.74089    .03514  1
  513  49  34    16679.26603    16679.30045   -.03442  1
  514  50  34    16682.29603    16682.24424    .05179  1
  515  51  34    16684.85603    16684.58457    .27146  1
  516   0  35    15451.27158    15451.80191   -.53033  6
  517   1  35    15504.27158    15504.33029   -.05871  1
  518   2  35    15555.57158    15555.54525    .02633  1
  519   3  35    15605.39158    15605.42001   -.02843  1
  520   4  35    15654.05158    15653.99640    .05518  1
  521   5  35    15701.21158    15701.22043   -.00885  1
  522   6  35    15747.01158    15746.94746    .06412  1
  523   7  35    15791.34158    15791.13031    .21127  1
  524   8  35    15833.92158    15833.86870    .05288  1
  525   9  35    15875.28158    15875.27996    .00162  1
  526  10  35    15915.30158    15915.44618   -.14460  1
  527  11  35    15954.22158    15954.44690   -.22532  1
